标题,链接,价格,作者,出版时间,评论数,简介
Python 3 7从入门到精通(视频教学版) 王英英 清华大学出版社 正版书籍购书无忧有保障！,http://product.dangdang.com/1746799686.html,¥86.00,王英英,2019/9/1,0,基于Python3.7.3，快速掌握Python编程技巧，以零基础讲解为宗旨，用实例引导读者深入学习，400多个实例，详解Python语
Python开发技术详解 周伟 等编著 机械工业出版社,http://product.dangdang.com/1635453831.html,¥69.00,周伟 等编著,2009/8/1,0,深入解析Python语言，透析应用开发的方方面面 涵盖9大应用领域的各类Python框架 详细讲解Python语言的基本要点和基础类库 内容覆盖GUI、数据库、Web、系统管理、网络编程、图像处理、游戏开发等领域 深入讲解常用开发框架Django、PyWin32、PyGame、Twisted等框架工具包 通过丰富的典型应用实例，引领读者迅速掌握实用技术 9.5小时多媒体视频讲解
Python金融数据分析 杰姆斯・马伟明（James，Ma，Weiming）著，高明 译机械工业出版社 正版现货，有问题请联系在线客服！,http://product.dangdang.com/1702877582.html,¥64.20,杰姆斯・马伟明（James，Ma，Weiming）著，高明,2018/4/1,0,
Python青少年趣味编程 艾德丽安・B.塔克 著 9787121388491 [正版图书，放心购买，发货特快，质量保障],http://product.dangdang.com/1759530395.html,¥46.95,艾德丽安・B.塔克 著,2020/5/1,0,适读人群 ：10-18岁喜欢编程的青少年读者。 游戏化的学习， ?趣味性的语言， ?易操作的步骤， ?可拓展的实例。 用孩子们喜闻乐见的例子，让Python编程变得轻松有趣！
PYTHON核心编程第二版 [美] Wesley J. Chun 人民邮电出版社 9787115178503 【正版图书 下单请看详情 可开发票】,http://product.dangdang.com/1739997273.html,¥13.00,[美] Wesley J. Chun,2008/7/1,0,对Python核心特性系统的专家级讲解； 为开发复杂的应用程序和软件所需的强大深入的视角； 易用的图表，详细描述了Python 模块、操作符、函数和方法； 大量的专业级的实例代码，从小的代码片段到功能齐全的应用程序一应俱全。
Python数据分析第2版 【达额减，评价有礼，关注有礼】 本店套装书籍因批量采集原因导致数据有误，均为其中一本书籍，随机发货，如有问题请联系在线客服,http://product.dangdang.com/1791134021.html,¥39.20,[美] 阿曼多・凡丹戈（Armando Fandango）,2018/6/1,0,
"Python数据可视化编程实战 第2版 伊戈尔・米洛瓦诺维奇（IgorMilovanovi・）,[法]迪 人民邮电出版社 [正版书籍，可开发票，下单前请联系客服查询书籍库存]",http://product.dangdang.com/1761446126.html,¥41.60,"伊戈尔・米洛瓦诺维奇（IgorMilovanovi・）,[法",2018/9/1,0,本书主要介绍如何通过Python来实现数据可视化。本书包含了一系列实用的示例，旨在帮助读者熟悉运用Python及其流行的可视化库和数据操作库，牢固地掌握数据可视化的知识。 n 本书从安装和搭建Python数据操作和可视化环境讲起，循序渐进，直到读者掌握使用Python库绘制3D动画等技能。另外，本书还讲解了如何配置matplotlib及相关库，如何在不同的环境（如文字排版系统或LaTeX）中使用matplotlib，以及如何使用Python创建甘特图等实用技能。通过本书，读者能更好地理解数据可视化的概念和技术。 n 本书包括以下内容： n 搭建工作环境所需的工具； n 使用标准的Python数据处理库和Pandas库处理数据； n 绘制并定制化图表； n 使用流行的Python数据可视化库； n 使用mplot3d绘制3D图表； n 使用图像和地图绘制图表； n 使用恰当的图表描述数据； n 更多matplotlib的高级内容； n
Python编程基础 Alex，武沛齐，王战山 著 人民邮电出版社 正版书籍，放心下单！,http://product.dangdang.com/1714306873.html,¥48.00,Alex，武沛齐，王战山 著,2020/3/1,0,1. 老男孩在Python培训市场已经有多年经验，培训了几十批Python学员。 n 2. 编写经验丰富，编写的和老男孩一起学Python是华章的畅销系列产品。 n 3. 本书*大的特点就是讲得非常细，每个知识点都零基础详细讲解，并列举大量案例。 n 4. 配套资源丰富，提供PPT、源代码、软件、教学大纲、教学视频。
Python数据分析基础教程 NumPy学习指南第2二版 NumPy中文入门教程 数据分析入门图书 数据科学数据挖掘算法,http://product.dangdang.com/1751160220.html,¥49.98,伊德里斯,2020/8/13,0,
Python源码剖析：深度探索动态语言核心技术 【达额减，评价有礼，关注有礼】 本店套装书籍因批量采集原因导致数据有误，均为其中一本书籍，随机发货，如有问题请联系在线客服,http://product.dangdang.com/1785321061.html,¥232.50,陈儒,2008/6/1,0,《Python源码剖析：深度探索动态语言核心技术》适合于Python程序员、动态语言爱好者、C程序员阅读。 作为主流的动态语言，Python不仅简单易学、移植性好，而且拥有强大丰富的库的支持。此外，Python强大的可扩展性，让开发人员既可以非常容易地利用C/C++编写Python的扩展模块，还能将Python嵌入到C/C++程序中，为自己的系统添加动态扩展和动态编程的能力。 为了更好地利用Python语言，无论是使用Python语言本身，还是将Python与C/C++交互使用，深刻理解Python的运行原理都是非常重要的。
Python Web开发 测试驱动方法案例分析实战式TDD开发指南书籍Python编程语言Django技术开发现代Web,http://product.dangdang.com/1733339357.html,¥66.30,Harry J.W. Percival,2020/9/12,0,
Python金融实战 [美] Yuxing Yan 著；张少军，严玉星 译 9787115457073 人民邮电出版社 [正版现货，可开发票，发货特快，售后无忧],http://product.dangdang.com/1793245774.html,¥37.35,[美] Yuxing Yan 著；张少军，严玉星 译,2017/6/1,0,本书由具有丰富的教学经验和专业经验的严玉星教授编写，囊括了他多年在金融领域教学一线的经典思想，并且结合了众多实际的金融数据，严教授还全程参与了本书的翻译和审校工作。 本书在原作者全程参与的前提下，邀请香港理工大学的张少军老师全程主导并负责本书的翻译，将基本的金融理论和丰富的代码示例及金融模型深度解析，引导读者编写高效的Python程序，构建实际的Python应用，实现金融数据的高效分析。在理论和实践中，把握量化交易的核心思想，将金融模型运用得得心应手。
Python网络编程基础 【正版图书，质量保证，可开发票，放心购买】,http://product.dangdang.com/1600471599.html,¥38.00,"[美] 高森（John Goerzen）,莫迟 等",2007/6/1,0,Python网络编程*入门图书！ 175个完整实例，实践出真知，Sockets、DNS、Web Service、FTP、Email、SMTP、POP、IMAP、SocketServe、CGI、XML、Forking、数据库客户端、多线程、异步通信 完整涵盖网络编程的方方面面 亲爱的读者：Python语言非常流行的一个原因在于它方便而灵活的特性。使用Python编写网络程序同样是非常方便的，它可以无拘无束地访问操作系统的网络库，更不用说很多不同的模块了，它们可以实现诸如HTTP、FTP、SMTP、IMAP、DNS等完整的协议。无论您是要编写网络程序来和本地的机器通信，还是和远程的服务器通信，Python都是您需要的语言。为了使您能快速掌握Python网络编程，书中加入了大约175个示例程序
"Python UNIX 和Linux 系统管理指南,(美)基弗特 等著，杨明华 等译,机械工业出版社【正版】 为迎双十一来临，本店内下单满30减1 满50减3 满100减5 满200减10 优惠多多 欢迎抢购！",http://product.dangdang.com/1701298541.html,¥65.25,(美)基弗特 等著，杨明华 等译,2009/9/1,0,“本书针对Python的入门者，无论他们是否具有shell脚本编程方面的经验。与其他编程书籍不同，Je remyeliNoah在书中大量使用了现实生活中非常有用的代码示例，有助于入门者开始使用Python。这本书不会令你失望，它将为你的成功助一臂之力!” ――《Red Hat Magazine》杂志社，Ruth Suehle和Bascha Harris
Python可以这样学 董付国 9787302456469 清华大学出版社 【正版保证，可开发票，下单速发，优质售后】,http://product.dangdang.com/1760766567.html,¥64.00,董付国,2017/2/1,0,信息量大、案例丰富、实用性强。全书包含近200个案例和上千段代码，涉及Python基本语法和数据类型，以及GUI、网络应用、数据库、密码学、科学计算与可视化、大数据、图形图像处理等多个领域的开发，书中一些代码进行简单拼凑就可以满足实际工作中需要的很多功能。
Python与机器学习实战:决策树、集成学习、支持向量机与神经网络算法详解及编程实现 何宇健 编著 9787121317 正版书籍，放心下单！,http://product.dangdang.com/1668903143.html,¥58.00,何宇健 编著,2017/6/1,0,算法与代码兼顾，理论与实践结合 很丰富：7种算法，50段实现，55个实例，总代码量5295行，全面而不冗余 很扎实：对经典有效的机器学习算法的核心内容进行了相当详细的推导 很应用：将理论实打实地用Python代码写出来，可以解决一定的任务 很前沿：叙述了TensorFlow框架、Inception-v3 from Google、迁移学习等前沿技术
Python 3快速入门与实战 肖冠宇，杨捷等 著 9787111634058,http://product.dangdang.com/1743095522.html,¥73.23,肖冠宇，杨捷等 著,2019/9/1,0,系统――系统介绍Pytho3语法，夯实基础。 全面――实例讲解Python数据可视化、爬虫开发、数据分析、机器学习等应用。 实用――免费提供本书案例涉及的全部数据集、程序代码。
Python第三方库开发应用实战 张有菊 著人民邮电出版社 正版现货，有问题请联系在线客服！,http://product.dangdang.com/1703023012.html,¥97.70,张有菊 著,2020/5/1,0,分别讲解了Tornado框架、Django框架、Flask框架、数据库存储框架、数据库驱动框架、使用ORM操作数据库、特殊文本格式处理、图像处理、图形用户界面、数据可视化、第三方多媒体库、第三方网络开发库。n 1.内容全面。n 本书内容涵盖了12类常用的Python第三方库，通过案例，循序渐进地讲解了这些库中函数的使用方法，帮助读者快速掌握和应用这些库。n 2.通过实例驱动教学。n 本书采用理论加实例的讲解方式，通过实例展示知识点的应用，达到了学以致用的目的。n 3.提供更为广泛的解决方案。n 通过本书的学习，读者可以构建自己的Python工具箱。借助该工具箱，读者能够使用Pytho开发各种类型的应用程序。n 4.提供示例源代码下载服务，可在异步社区轻松下载。
"Python数据可视化 [美]马里奥・多布勒,[美]蒂姆・高博曼,李瀛宇 9787302553489 清华大学出版社 正版图书，提供电子发票，正常情况下48小时内发出，支持全国配送，有任何问题联系在线客服！",http://product.dangdang.com/1729868367.html,¥93.94,"[美]马里奥・多布勒,[美]蒂姆・高博曼,李瀛宇",2020/6/1,0,古谚有云“一图胜千言”，这在不同的文化背景中均广为人知。本书是针对想步入数据科学领域的开发人员和相关人士而编写的，他们希望通过数据可视化进一步丰富其个人专业项目。本书以通俗易懂的语言讲述了数据可视化技术，并完美地平衡了理论与实践之间的内容。具体来说，每一章内容都是在前一章的基础上加以设计的。另外，本书还包含了多项操作，并在现实生活中的业务场景和高度相关的环境中实践、运用所学的技能。
Python编程 Mark Lutz 中国电力出版社 9787512355309,http://product.dangdang.com/1751706876.html,¥97.41,Mark Lutz,2014/12/1,0,重磅推荐：Python袖珍指南（第五版） 本书是Python应用的手册指南，它涵盖了Python编程的方方面面，从系统管理到图形界面编程，从文本处理到网络编程，从数据库到语言扩展……这些主题的探讨中，作者提供了大量的实际代码，通过对这些代码的研读，对读者的Python编程水平以及实际业务问题的解决都将不无裨益。
"【正版全新直发】Python编程入门(第3版) [加] Toby Donaldson,袁国忠 人民邮电出版社978711 全店商品满3件包邮",http://product.dangdang.com/1607391187.html,¥38.88,"[加] Toby Donaldson,袁国忠",2013/11/1,0,简洁的步骤和解释 助你快速上手。 必备的参考指南 值得反复品味。 学习Python基础知识的不二选择 从算术运算、字符串、变量，到函数、数据结构、输入输出和异常处理，应有尽有！
Python网络爬虫实战（第2版） 胡松涛 9787302510086 清华大学出版社【直发】 正版保障 达额立减 闪电,http://product.dangdang.com/1762797252.html,¥73.23,胡松涛,2018/10/1,0,网络爬虫，又被称为网页蜘蛛、网络机器人，是一种按照一定的规则，自动地抓取互联网信息的程序或者脚本。很多站点，尤其是搜索引擎，都使用爬虫（它主要用于提供访问页面的一个副本）提供新的数据，然后，搜索引擎对得到的页面进行索引，以便快速访问。爬虫也可以用来在Web上自动执行一些任务，例如检查链接、确认HTML代码；还可以用来抓取网页上某种特定类型的信息，例如电子邮件地址（通常用于垃圾邮件）。因此，网络爬虫技术对互联网企业具有很大的应用价值。 本书从Pytho3.6.4基础的部分讲起，延伸到Python流行的应用方向之一 网络爬虫，讲解目前流行的几种Python爬虫框架，并给出详细示例，以帮助读者学习Python并开发出符合自己要求的网络爬虫。
Python程序设计开发宝典 董付国清华大学出版社 9787302472100 正版现货，有问题请联系在线客服！,http://product.dangdang.com/1719382252.html,¥94.00,董付国,2017/8/1,0,内容与Python*版本同步。面向Python 3.5.x、Python 3.6.x及更新版本，重点关注内置对象和标准库对象的高级用法以及比较前沿的一些新技术。语言精练、代码优雅。深入剖析Python编程模式，使用*简练的语言和代码介绍Python高级用法，完美诠释Pythonic的真正含义。案例丰富、注释量大、实用性强。精选多个领域中的经典案例，几乎每段重要代码都配有大量注释，让读者能够在*短时间内理解代码思路和要点，大幅度缩短阅读和学习时间，由浅入深，层层递进，平滑学习曲线。
"Python数学编程 阿米特・萨哈（AmitSaha）,许杨毅,刘旭华 人民邮电出版社 9787115522719 书籍因批量采集上架，套装书籍默认是其中一本。",http://product.dangdang.com/1793116801.html,¥52.00,"阿米特・萨哈（AmitSaha）,许杨毅,刘旭华",2020/1/1,0,适读人群 ：本书适合广大的青少年、年轻人学习编程和利用编程学数学。 本书展示了如何应用Python探究高中和大学低年级的数学主题，比如代数、统计、几何、概率以及微积分。你会从简单的项目学起，比如因式分解、二次方程求解，当你掌握了这些基础的知识后，就可以处理更复杂的项目了。 n n 使用本书提供的方法探索数学和编程，将让你的整个数学和计算机科学学习过程变得有趣、实用。 n n 你将从本书学到以下内容： n 用统计方法描述数据，用线图、条形图和散点图可视化数据 n 用程序探究掷硬币、掷骰子和其他概率游戏中的集合理论和概率问题 n 用Python的符号数学功能解决代数问题 n 绘制几何图形，探索分形，如Barnsley蕨类植物、Sierpi��ski三角以及Mandelbrot集 n 写程序求解导数与积分 n n 本书还提供了有创意的编程挑战以及应
Python 编程指南[美]Tim Altom 正版保障 达额立减 闪电发货！,http://product.dangdang.com/1704699650.html,¥43.90,[美]Tim Altom&Mitch Chapman,2000/1/1,0,
【正版】Python数据分析基础零编程经验也可学会用Python语言进行数据分析python爬虫数据分析实战python,http://product.dangdang.com/1668131221.html,¥63.30,Clinton W. Brownley,2020/8/17,0,
Python网络编程攻略人民邮电出版社9787115372697(英)M.O.Far【直发】 正版保障 达额立减 闪电发货 80%城市次日达！,http://product.dangdang.com/1785844804.html,¥21.18,(英)M.O.FaruqueSarker著,2014/12/1,0,
Python核心编程 第3版 英文版 [美] 卫斯理 春(Wesley Chun) 人民邮电出版社 [正版书籍，下单速发，下单前请联系客服查询书籍库存],http://product.dangdang.com/1760811025.html,¥65.08,[美] 卫斯理 春(Wesley Chun),2016/3/1,0,全面涵盖当今应用开发中的众多领域为中级Python开发人员提供实践方法涵盖大量实用的代码案例每章末尾的习题有助于巩固所学知识Python是一种灵活、可靠且具有表现力的编程语言，它将编译语言的强大与脚本语言的简洁性、快速开发特性整合起来。在本书中，Python开发人员兼企业培训师Wesley Chun会帮助您将Python技能提升到更高的水平。本书涵盖了成为一名技术全面的Python开发人员所需的一切内容。本书讲解了应用开发相关的多个领域，而且书中的内容可以立即应用到项目开发中。此外，本书还包含了一些使用Python 2和Python 3编写的代码案例，以及一些代码移植技巧。有些代码片段甚至无须修改就可以运行在Python 2.x或Python 3.x上。本书讲解了如下内容：学习专业的Python风格、实践以及好的编程习惯；使用TCP、UDP、XML-RPC来开发客户端和服务器，并供高级的库（比如SocketS
正版 Python 3程序开发指南（第2版 修订版）9787115383389[美]萨默菲尔德（Mark Summerf 正版书籍放心购买，提供发票，支持书籍代寻配货，如有需要联系客服即可。,http://product.dangdang.com/1741722552.html,¥485.00,[美]萨默菲尔德 著，王弘博，孙传庆 译,2015/2/1,0,在《Python 3程序开发指南（第2版 修订版）》中，一流的Python程序员Mark Summerfield展示了如何充分利用Python 3的功能与特性来编写代码。与以前的版本相比，Python 3功能更强大，使用更方便，语法更一致，表达能力更丰富。本书将编写程序、使用标准或第三方Python 3库、创建新的专用库模块所必需的所有相关知识整合到了一起。 作为一名具有多年Python使用经验的程序员，Summerfield在本书中为读者深度分析与讲解了从其他途径无法获取的Python 3使用与开发技术。Summerfield从Python的“优美核心（beautiful heart）”（即编写高健壮性、高性能程序的8个关键要素）开始讲解，并以这些关键要素为基础，介绍了有助于增强程序开发实用技能的新主题，每个主题都包含其概念和多个操作实例。 《Python 3程序开发指南（第2版 修订版）》内容包括： 使用过程型、面向对象以及
Python网络爬虫实例教程:视频讲解版 齐文光 人民邮电出版社 [正版书籍，下单速发，下单前请联系客服查询书籍库存],http://product.dangdang.com/1754982662.html,¥37.69,齐文光,2018/7/1,0,1. 零基础入门Python网络爬虫。n 2. 提供全套视频讲解爬虫技术。n 3. 使用爬取链家网、豆瓣网、Q房网、拉勾网、新浪微博、我爱我家、房天下、知乎等多个实用案例。
Python算法教程 python语言编程入门书籍 Python程序设计教材Python基础教程 利用Python进行数,http://product.dangdang.com/1540171185.html,¥65.00,Magnus Lie Hetland,2019/9/30,0,
Python轻松学：爬虫、游戏与架站 清华大学出版社 【有问题联系在线客服】,http://product.dangdang.com/1754426326.html,¥45.60,王春艳 著,2019/3/1,0,
"Python语言及其应用 [美] 卢布诺维克（Bill Lubanovic） 著,丁嘉瑞,梁杰,禹常隆 译 978711 收藏店铺 快速发货 大秦书店经营范围：正版纸质书，电子出版物，开具发票。欢迎光临！",http://product.dangdang.com/1678552357.html,¥45.20,[美] 卢布诺维克（Bill Lubanovic,2016/1/1,0,
Python数据分析 9787115481177 (美)阿曼多・凡丹戈(Armando Fandango) 著;韩波 译 请注意售价高于定价，正常48小时内发货，提供发票，收到书籍后有任何问题联系在线客服或致电13581544457,http://product.dangdang.com/1759665873.html,¥63.80,(美)阿曼多・凡丹戈(Armando Fandango) 著,2018/6/1,0,Python拥有许多强大的程序库，已经成为进行各种数据分析和预测建模任务的流行平台。Python的应用范围很广，拓展性很大。本书介绍了众多的Python模块，例如Matplotlib、statsmodels、scikit-learn和NLTK。同时，本书还介绍了Python如何与外部环境（例如R、Fortran、C/C++和Boost库）进行交互。 n 通过阅读本书，你将学会如何使用Python处理和操作数据，并完成复杂的分析和建模。我们将借助NumPy和Pandas来学习数据的各种操作。本书将介绍如何从各种数据源（例如SQL、NoSQL、CSV文件和HDF5）中存储和检索数据。此外，我们还将学习如何通过可视化库实现数据的可视化，以及信号处理、时间序列、文本数据分析、机器学习和社交媒体分析等主题。
Python Cookbook：（第2版）中文版,http://product.dangdang.com/1740055909.html,¥42.00,（美）马特利（Martelli，A.），（美）马特利（Mar,2010/5/1,0,
Python编程初学者指南 []Michael Dawson 人民邮电出版社 9787115361448,http://product.dangdang.com/1676808723.html,¥417.00,[]Michael Dawson,2014/10/1,0,如果你刚刚接触Python编程，而且正在寻找一本实用的教程，那么这本书为你量身打造。通过阅读本书，你不仅会学到很多实用的Python编程知识，还将懂得如何在实际工作中运用这些知识。本书各个章节都配有大量能够帮助你理解相关知识的范例。书中的每一个章节都会用一个完整的游戏来演示其中的关键知识点。每一章最后都会对该章的知识点进行小结，还会给出一些小练习让你试试身手。学完这本书之后，你就能熟练地运用Python了。不仅如此，你还可以把本书中学到的基本编程知识运用到其他的编程语言上去。在学习Python编程的过程中，你将创建出许多简单的小游戏。 通过本书，你将会学到： 字符串的构建、切片和索引； 定义函数； 读写文本文件； 创建并操作sprite； 面向对象编程； 创建GUI； 处理声音和音乐，创建动画。 本书的网站上都有些什么？ Python 3.1
Python 3.6从入门到精通 王英英 著 9787302511748 [正版现货，发货特快，可开发票，售后无忧],http://product.dangdang.com/1799274184.html,¥74.25,王英英 著,2018/9/1,0,本书通过丰富多样的实例，详解Pytho3.6的编程方法，从步骤到代码分析，将每个技术点都一目了然地展示给读者。书中不仅使用了大量实例对编程重点、难点进行深入剖析，还结合作者多年的项目开发和教学经验对读者进行点拨和引导，使读者能够达到学以致用的目的。 本书内容安排由浅入深、逻辑结构清晰、循序渐进，并注意各个章节与实例之间的呼应和对照，可作为Python编程初学者的入门教材，也适合Python中高级用户进一步提高和借鉴参考。
PYthon编程上下册 Mark Lutz 9787512355309 中国电力出版社【直发】 正版保障 达额立减 闪电,http://product.dangdang.com/1762270822.html,¥183.55,Mark Lutz,2014/12/1,0,重磅推荐：Python袖珍指南（第五版） 本书是Python应用的手册指南，它涵盖了Python编程的方方面面，从系统管理到图形界面编程，从文本处理到网络编程，从数据库到语言扩展……这些主题的探讨中，作者提供了大量的实际代码，通过对这些代码的研读，对读者的Python编程水平以及实际业务问题的解决都将不无裨益。
Python与机器学习实战：决策树、集成学习、支持向量机与神经网络算法详解及编程实现 【达额减，评价有礼，关注有礼】 本店套装书籍因批量采集原因导致数据有误，均为其中一本书籍，随机发货，如有问题请联系在线客服,http://product.dangdang.com/1791155301.html,¥37.50,何宇健 著,2017/6/1,0,适读人群 ：人工智能及相关领域研究人员、程序员，计算机及数据科学专业在校生 算法与代码兼顾，理论与实践结合 很丰富：7种算法，50段实现，55个实例，总代码量5295行，全面而不冗余 很扎实：对经典有效的机器学习算法的核心内容进行了相当详细的推导 很应用：将理论实打实地用Python代码写出来，可以解决一定的任务 很前沿：叙述了TensorFlow框架、Inception-v3 from Google、迁移学习等前沿技术
Python算法教程 [挪威]赫特兰(Magnus Lie Hetland) 人民邮电出版社 9787115404831 正版现货，有问题请联系在线客服！,http://product.dangdang.com/1755810248.html,¥67.62,[挪威]赫特兰(Magnus Lie Hetland),2016/1/1,0,畅销书Python基础教程(第2版)作者、Python领域大牛又一新力作！知识点清晰，语言简洁。 本书用Python语言来讲解算法的分析和设计，主要关注经典的算法，帮助读者理解基本算法问题和解决问题打下很好的基础。 蕴含大量课后习题和参考资料。
Python量化交易实战 王晓华 著 9787302517634 清华大学出版社 正版图书，提供电子发票，正常情况下48小时内发出，有任何问题联系在线客服！,http://product.dangdang.com/1674767247.html,¥56.43,王晓华 著,2019/1/1,0,
Python股票量化交易从入门到实践 袁霄 著 9787115536075 [正版现货，发货特快，可开发票，售后无忧],http://product.dangdang.com/1795253364.html,¥73.17,袁霄 著,2020/7/1,0,1.厘清概念，夯实技能 n 深入浅出揭示量化交易的本质和源起，手把手教你部署Python环境，跟随代码示例掌握基本的编程语法和模块调用。 n 2.立足A股，贴近实战 n 选择A股市场作为标的，囊括多渠道数据获取、技术指标的回测分析与可视化等，在边学边练中摸索股票量化技巧。 n 3.步骤详细，模型与代码并重 n 统计概率理论快速入门，ATR技术指标、蒙特卡洛法、凯利公式等经典策略与Python编码的完美融合。 n 4.大咖推荐，品质保证 n 畅销书《基于Python的金融分析与风险防控》作者斯文博士作序推荐，《快乐机器学习》作者王圣元倾情推荐。
PythonWeb开发学习实录李勇王文强著清华大学出版社图书信息以标题为准 正版书籍放心购买！书籍和图片不符的以标题为准！提供发票!,http://product.dangdang.com/1766429434.html,¥67.05,李勇，王文强 编著,2011/10/1,0,迅速提高读者Web开发能力，全面挖掘读者开发潜力 一线资深Web程序员经验力作，窗内网独家推荐自学教材 15个小时视频教学，简化学习过程 60个实战案例与理论知识综合讲解，提高应用能力
Python股票量化交易从入门到实践 袁霄 著 9787115536075 人民邮电出版社 请注意售价高于定价，正常48小时内发货，提供发票，收到书籍后有任何问题联系在线客服或致电13581544457,http://product.dangdang.com/1658390593.html,¥78.79,袁霄 著,2020/7/1,0,1.厘清概念，夯实技能 n 深入浅出揭示量化交易的本质和源起，手把手教你部署Python环境，跟随代码示例掌握基本的编程语法和模块调用。 n 2.立足A股，贴近实战 n 选择A股市场作为标的，囊括多渠道数据获取、技术指标的回测分析与可视化等，在边学边练中摸索股票量化技巧。 n 3.步骤详细，模型与代码并重 n 统计概率理论快速入门，ATR技术指标、蒙特卡洛法、凯利公式等经典策略与Python编码的完美融合。 n 4.大咖推荐，品质保证 n 畅销书《基于Python的金融分析与风险防控》作者斯文博士作序推荐，《快乐机器学习》作者王圣元倾情推荐。
Python Web开发从入门到精通 张洪朋机械工业出版社9787111645238 正版书籍，放心下单。,http://product.dangdang.com/1729865078.html,¥107.40,张洪朋,2020/5/1,0,
"Python接口自动化测试,王浩然,电子工业出版社【可开发票】 本店书籍 正版保证 有问题您可以联系在线客服 谢谢!",http://product.dangdang.com/1759572790.html,¥47.20,王浩然,2019/5/1,0,适读人群 ：本书适合初、中级测试工程师，对Python 语言感兴趣的人员，以及想要提升技术的人员。 真正做到学以致用，以编写一套可落地的接口自动化脚本为目的。 本书是实实在在的一线测试干货积累，提供落地化的HTTP协议接口自动化脚本，以及实实在在的可运行环境。有了这本书，就等于有了一套实实在在的测试平台。 轻松入门Python语法，书中涉及的语法都是脚本中用到的，并在这个基础上做出适当的延伸，使读者在编写代码的同时，知其然，也知其所以然。 书中源码公开，拥有这本书，就拥有了整套的源码，按照本书的环境设置，这套源码是完全可运行的。
Python数据分析基础 阮敬 著 中国统计出版社 [正版书籍，下单速发，下单前请联系客服查询书籍库存],http://product.dangdang.com/1742591262.html,¥145.61,阮敬 著,2017/9/1,0,
【新华书店】Python数据分析基础 9787115463357 [美] 克林顿・布朗利（Clinton，W.，Brow 正版现货 满5件包邮,http://product.dangdang.com/1678999370.html,¥61.64,[美] 克林顿・布朗利（Clinton，W.，Brownle,2017/8/1,0,想深入应用手中的数据？还是想在上千份文件上重复同样的分析过程？没有编程经验的非程序员们如何能在zui短的时间内学会用当今炙手可热的Python语言进行数据分析？ n n 来自Facebook的数据专家ClintoBrownley可以帮您解决上述问题。在他的这本书里，读者将能掌握基本Python编程方法，学会编写出处理电子表格和数据库中的数据的脚本，并了解使用Python模块来解析文件、分组数据和生成统计量的方法。 n n - 学习基础语法，创建并运行自己的Python脚本 n - 读取和解析CSV文件 n - 读取多个Excel工作表和工作簿 n - 执行数据库操作 n - 搜索特定记录、分组数据和解析文本文件 n - 建立统计图并绘图 n - 生成描述性统计量并估计回归模型和分类模型 n - 在Windows和Mac环境下按计划自动运行脚本
Python编程快速上手 {满额减} 本店套装书籍因批量采集原因导致数据有误，均为其中一本书籍，随机发货，如有问题请联系在线客服！,http://product.dangdang.com/1776080011.html,¥69.00,(美)斯维加特(Al Sweigart) 著;王海鹏 译,2016/7/1,0,
Python新手使用Django架站的16堂课 何敏煌 清华大学出版社 【正版书籍 闪电发货 优质服务 电子发票 放心下单】,http://product.dangdang.com/1782476664.html,¥89.00,何敏煌,2017/4/1,0,"本书免费赠送范例网站的源码和网站文件夹结构及其文件,下载地址:http://pan.baidu.com/s/1pLIuFXp（注意区分数字和英文字母大小写）1.详细的步骤教学，按图操作，快速上手2.深入分析Django的MVC/MTV架构3.多个实用的网站开发范例，即学即用到个人网站4.从设计、规划到实践，16堂课使你轻松成为网络架站高手"
Python参考手册 第4版 修订版 [美]大卫 M.比兹利(David M.Beazley) 人民邮电出版社 [正版书籍，下单速发，下单前请联系客服查询书籍库存],http://product.dangdang.com/1794063495.html,¥50.76,[美]大卫 M.比兹利(David M.Beazley),2016/10/1,0,导语_点评_推荐词
【新华书店】Python 3.7网络爬虫快速入门王启明 著清华大学出版社9787302536475 现货 满5件包邮,http://product.dangdang.com/1682377870.html,¥41.38,王启明 著,2019/10/1,0,如果想学习Pytho3.7实战的内容，那么网络爬虫开发是一个不错的选择。作为获取数据的手段之一，网络爬虫有它独特的魅力，是一个很好的用来满足个人兴趣爱好的Python编程入门项目。本书针对Python网络爬虫开发初学者，通过一些小示例以及每章最后的爬虫实战案例，让读者反复练习、学完就会。
Python带我起飞 入门、进阶、商业实战 李金洪 正版现货，放心购买，请注意售价与定价，有任何问题及时联系在线客服!,http://product.dangdang.com/1739910186.html,¥63.00,李金洪,2018/6/1,0,
"Python科学计算 [英]约翰・M.斯图尔特（JohnM.Stewart）,江红,余青 机械工业出版社 [正版书籍，可开发票，下单前请联系客服查询书籍库存]",http://product.dangdang.com/1769649466.html,¥81.77,"[英]约翰・M.斯图尔特（JohnM.Stewart）,江红",2019/8/1,0,
"Python深度学习 基于TensorFlow,机械工业出版社,9787111609728,【新华书店,品质保障】 【新华书店，全国多仓就近发货，速度保障】",http://product.dangdang.com/1586111309.html,¥68.71,吴茂贵 等,2018/10/1,0,
